Product Group ID,Product Group Name,Description,Category,Target Market,Average Price Range,Key Features,Launch Date,Discontinuation Date,Market Share
88,Accessories,Smartphones and tablets,Electronics,Youth,200$ - 500$,High Fidelity Audio,11/23/2022,N/A,10%
89,Computing,Headphones and wearables,Electronics,Families,200$ - 500$,Wireless,9/11/2022,N/A,5%
90,Audio Equipment,Smartphones and tablets,Electronics,Audiophiles,70$ - 310$,Camera,8/1/2022,N/A,40%
91,Accessories,Smartphones and tablets,Home Goods,Audiophiles,50$ - 200$,High Performance,11/25/2022,N/A,15%
92,Accessories,Laptops and desktops,Home Goods,General Public,50$ - 200$,High Fidelity Audio,1/21/2023,N/A,15%
93,Computing,Smartphones and tablets,Electronics,Professionals,50$ - 200$,Touchscreen,6/12/2023,N/A,10%
94,Home Appliances,Smartphones and tablets,Home Goods,Families,70$ - 310$,Wireless,2/13/2023,N/A,25%
95,Computing,Laptops and desktops,Home Goods,Audiophiles,70$ - 310$,Touchscreen,2/7/2023,N/A,35%
96,Computing,Laptops and desktops,Electronics,Youth,200$ - 500$,Durable,10/28/2022,N/A,10%
97,Audio Equipment,Headphones and wearables,Home Goods,Audiophiles,100$ - 300$,Touchscreen,9/17/2022,N/A,35%
98,Home Appliances,Smart home devices,Electronics,Families,350$ - 500$,Smart Connectivity,7/25/2022,N/A,25%
99,Accessories,Headphones and wearables,Home Goods,Families,70$ - 310$,Camera,7/30/2022,N/A,10%
100,Mobile Devices,Smartphones and tablets,Electronics,Audiophiles,350$ - 500$,Camera,6/19/2022,N/A,50%
101,Audio Equipment,Speakers and soundbars,Home Goods,Families,50$ - 200$,Durable,6/30/2022,N/A,40%
102,Home Appliances,Speakers and soundbars,Electronics,Audiophiles,30$ - 99$,Wireless,5/1/2023,N/A,20%
103,Mobile Devices,Speakers and soundbars,Electronics,Youth,30$ - 99$,Camera,7/29/2022,N/A,10%
104,Home Appliances,Smartphones and tablets,Electronics,Youth,200$ - 500$,Touchscreen,5/28/2023,N/A,40%
105,Mobile Devices,Headphones and wearables,Electronics,Professionals,200$ - 500$,Durable,8/26/2022,N/A,20%
106,Mobile Devices,Smart home devices,Electronics,General Public,70$ - 310$,Durable,12/13/2022,N/A,5%
107,Mobile Devices,Laptops and desktops,Electronics,Families,100$ - 300$,Wireless,3/5/2023,N/A,50%
108,Accessories,Speakers and soundbars,Home Goods,Audiophiles,70$ - 310$,High Fidelity Audio,3/16/2023,N/A,10%
109,Accessories,Smartphones and tablets,Electronics,General Public,350$ - 500$,High Fidelity Audio,11/16/2022,N/A,50%
110,Audio Equipment,Smart home devices,Home Goods,Youth,70$ - 310$,Durable,8/3/2022,N/A,50%
111,Accessories,Laptops and desktops,Home Goods,Youth,30$ - 99$,Camera,7/2/2022,N/A,30%
112,Audio Equipment,Smart home devices,Home Goods,Families,350$ - 500$,Camera,5/24/2023,N/A,20%
113,Audio Equipment,Smartphones and tablets,Home Goods,Families,200$ - 500$,Smart Connectivity,1/31/2023,N/A,15%
114,Home Appliances,Speakers and soundbars,Electronics,General Public,200$ - 500$,Touchscreen,6/4/2023,N/A,50%
115,Mobile Devices,Speakers and soundbars,Electronics,General Public,100$ - 300$,Durable,12/28/2022,N/A,10%
116,Accessories,Laptops and desktops,Home Goods,General Public,350$ - 500$,Camera,6/16/2022,N/A,5%
117,Mobile Devices,Laptops and desktops,Home Goods,General Public,100$ - 300$,Camera,11/1/2022,N/A,25%
118,Accessories,Smart home devices,Electronics,General Public,30$ - 99$,Camera,12/13/2022,N/A,35%
119,Computing,Laptops and desktops,Electronics,Youth,70$ - 310$,High Fidelity Audio,5/8/2023,N/A,5%
120,Audio Equipment,Smart home devices,Electronics,Families,30$ - 99$,Touchscreen,11/22/2022,N/A,15%
121,Mobile Devices,Laptops and desktops,Electronics,Families,350$ - 500$,High Performance,9/5/2022,N/A,25%
122,Accessories,Smartphones and tablets,Electronics,Families,30$ - 99$,Touchscreen,11/25/2022,N/A,5%
123,Mobile Devices,Speakers and soundbars,Electronics,Youth,50$ - 200$,Durable,4/25/2023,N/A,15%
124,Home Appliances,Smart home devices,Home Goods,Audiophiles,100$ - 300$,Durable,7/13/2022,N/A,5%
125,Audio Equipment,Headphones and wearables,Electronics,Youth,200$ - 500$,Wireless,5/26/2023,N/A,50%
126,Mobile Devices,Smart home devices,Electronics,Professionals,70$ - 310$,High Performance,8/23/2022,N/A,20%
127,Audio Equipment,Speakers and soundbars,Home Goods,General Public,200$ - 500$,Touchscreen,7/19/2022,N/A,10%
128,Home Appliances,Smartphones and tablets,Home Goods,Families,100$ - 300$,High Performance,4/15/2023,N/A,30%
129,Accessories,Headphones and wearables,Electronics,General Public,30$ - 99$,Smart Connectivity,3/25/2023,N/A,5%
130,Home Appliances,Laptops and desktops,Home Goods,Professionals,100$ - 300$,Durable,8/1/2022,N/A,20%
131,Home Appliances,Headphones and wearables,Home Goods,Youth,200$ - 500$,Camera,12/12/2022,N/A,50%
132,Computing,Headphones and wearables,Electronics,Audiophiles,350$ - 500$,Durable,9/28/2022,N/A,40%
133,Mobile Devices,Smartphones and tablets,Electronics,Professionals,100$ - 300$,Touchscreen,9/27/2022,N/A,5%
134,Mobile Devices,Speakers and soundbars,Electronics,Youth,350$ - 500$,High Fidelity Audio,11/18/2022,N/A,40%
135,Mobile Devices,Laptops and desktops,Home Goods,General Public,200$ - 500$,High Performance,6/9/2023,N/A,25%
136,Accessories,Headphones and wearables,Electronics,General Public,100$ - 300$,Touchscreen,10/30/2022,N/A,25%
137,Accessories,Laptops and desktops,Electronics,Professionals,100$ - 300$,High Performance,3/25/2023,N/A,50%
138,Audio Equipment,Headphones and wearables,Home Goods,Families,350$ - 500$,Smart Connectivity,10/7/2022,N/A,20%
139,Audio Equipment,Laptops and desktops,Electronics,Youth,50$ - 200$,High Performance,9/10/2022,N/A,40%
140,Home Appliances,Headphones and wearables,Home Goods,Audiophiles,200$ - 500$,Touchscreen,8/3/2022,N/A,30%
141,Audio Equipment,Laptops and desktops,Home Goods,Audiophiles,350$ - 500$,Camera,3/4/2023,N/A,50%
142,Mobile Devices,Smartphones and tablets,Electronics,General Public,350$ - 500$,High Fidelity Audio,10/23/2022,N/A,50%
143,Home Appliances,Speakers and soundbars,Electronics,General Public,50$ - 200$,Smart Connectivity,3/25/2023,N/A,35%
144,Accessories,Headphones and wearables,Electronics,General Public,30$ - 99$,Touchscreen,5/31/2023,N/A,20%
145,Audio Equipment,Headphones and wearables,Home Goods,General Public,200$ - 500$,High Fidelity Audio,7/8/2022,N/A,10%
146,Accessories,Smartphones and tablets,Home Goods,Families,70$ - 310$,High Fidelity Audio,4/11/2023,N/A,25%
147,Audio Equipment,Smart home devices,Home Goods,Professionals,30$ - 99$,Wireless,3/10/2023,N/A,40%
148,Computing,Headphones and wearables,Home Goods,Audiophiles,100$ - 300$,Smart Connectivity,11/16/2022,N/A,30%
149,Mobile Devices,Laptops and desktops,Electronics,Families,30$ - 99$,Touchscreen,4/14/2023,N/A,30%
150,Computing,Speakers and soundbars,Electronics,General Public,70$ - 310$,Camera,12/22/2022,N/A,15%
151,Home Appliances,Smart home devices,Electronics,Families,50$ - 200$,High Fidelity Audio,9/15/2022,N/A,40%
152,Audio Equipment,Laptops and desktops,Electronics,Families,50$ - 200$,Wireless,11/21/2022,N/A,25%
153,Home Appliances,Smartphones and tablets,Home Goods,Professionals,350$ - 500$,Camera,5/24/2023,N/A,10%
154,Audio Equipment,Speakers and soundbars,Home Goods,Youth,200$ - 500$,Durable,4/25/2023,N/A,50%
155,Computing,Laptops and desktops,Home Goods,Youth,50$ - 200$,High Performance,3/17/2023,N/A,20%
156,Computing,Smartphones and tablets,Electronics,Audiophiles,100$ - 300$,Durable,4/27/2023,N/A,5%
157,Mobile Devices,Headphones and wearables,Home Goods,Audiophiles,30$ - 99$,Durable,11/8/2022,N/A,10%
158,Mobile Devices,Laptops and desktops,Home Goods,Professionals,30$ - 99$,High Fidelity Audio,6/23/2022,N/A,5%
159,Audio Equipment,Speakers and soundbars,Home Goods,Audiophiles,200$ - 500$,Touchscreen,4/13/2023,N/A,15%
160,Computing,Smartphones and tablets,Home Goods,Professionals,100$ - 300$,Wireless,12/26/2022,N/A,5%
161,Computing,Smart home devices,Home Goods,Professionals,100$ - 300$,Camera,2/9/2023,N/A,50%
162,Home Appliances,Smartphones and tablets,Electronics,General Public,350$ - 500$,Smart Connectivity,5/23/2023,N/A,20%
163,Audio Equipment,Laptops and desktops,Electronics,Audiophiles,200$ - 500$,Durable,1/23/2023,N/A,15%
164,Audio Equipment,Smart home devices,Electronics,Youth,350$ - 500$,Touchscreen,12/30/2022,N/A,50%
165,Audio Equipment,Speakers and soundbars,Electronics,Youth,350$ - 500$,High Performance,10/24/2022,N/A,25%
166,Mobile Devices,Smartphones and tablets,Electronics,Professionals,200$ - 500$,Camera,4/14/2023,N/A,10%
167,Accessories,Smart home devices,Home Goods,Families,350$ - 500$,High Fidelity Audio,11/23/2022,N/A,10%
168,Accessories,Headphones and wearables,Home Goods,General Public,100$ - 300$,High Fidelity Audio,6/2/2023,N/A,10%
169,Home Appliances,Speakers and soundbars,Electronics,Audiophiles,30$ - 99$,High Performance,4/10/2023,N/A,15%
170,Audio Equipment,Headphones and wearables,Home Goods,Youth,350$ - 500$,High Performance,8/14/2022,N/A,40%
171,Accessories,Smart home devices,Electronics,General Public,50$ - 200$,Durable,5/11/2023,N/A,40%
172,Computing,Speakers and soundbars,Home Goods,Youth,50$ - 200$,High Performance,1/18/2023,N/A,50%
173,Home Appliances,Headphones and wearables,Home Goods,General Public,70$ - 310$,Smart Connectivity,9/21/2022,N/A,20%
174,Computing,Smart home devices,Home Goods,Youth,200$ - 500$,High Performance,10/23/2022,N/A,25%
175,Accessories,Smartphones and tablets,Electronics,Families,200$ - 500$,Touchscreen,7/15/2022,N/A,15%
176,Home Appliances,Speakers and soundbars,Home Goods,General Public,50$ - 200$,Smart Connectivity,5/15/2023,N/A,30%
177,Home Appliances,Smart home devices,Home Goods,Audiophiles,50$ - 200$,Durable,10/13/2022,N/A,50%
178,Mobile Devices,Headphones and wearables,Home Goods,Professionals,50$ - 200$,High Performance,5/19/2023,N/A,15%
179,Home Appliances,Speakers and soundbars,Home Goods,Audiophiles,70$ - 310$,Smart Connectivity,5/27/2023,N/A,15%
180,Mobile Devices,Headphones and wearables,Electronics,Audiophiles,200$ - 500$,Wireless,7/20/2022,N/A,25%
181,Audio Equipment,Laptops and desktops,Electronics,Families,350$ - 500$,Durable,6/24/2022,N/A,20%
182,Accessories,Headphones and wearables,Electronics,General Public,30$ - 99$,High Performance,2/7/2023,N/A,5%
183,Computing,Smart home devices,Home Goods,Professionals,70$ - 310$,High Performance,5/22/2023,N/A,35%
184,Mobile Devices,Smartphones and tablets,Electronics,Youth,50$ - 200$,Camera,6/25/2022,N/A,25%
185,Accessories,Smart home devices,Electronics,Audiophiles,30$ - 99$,Camera,4/23/2023,N/A,35%
186,Audio Equipment,Laptops and desktops,Home Goods,Audiophiles,30$ - 99$,High Fidelity Audio,6/15/2022,N/A,50%
187,Accessories,Speakers and soundbars,Electronics,Families,30$ - 99$,Camera,9/22/2022,N/A,15%
188,Accessories,Smart home devices,Home Goods,Audiophiles,350$ - 500$,High Performance,7/17/2022,N/A,5%
189,Audio Equipment,Headphones and wearables,Electronics,Audiophiles,350$ - 500$,High Performance,11/10/2022,N/A,20%
190,Audio Equipment,Smartphones and tablets,Electronics,Youth,50$ - 200$,Camera,12/22/2022,N/A,25%
191,Computing,Headphones and wearables,Electronics,Youth,30$ - 99$,Smart Connectivity,3/22/2023,N/A,40%
192,Mobile Devices,Speakers and soundbars,Electronics,General Public,200$ - 500$,Camera,11/15/2022,N/A,5%
193,Computing,Smartphones and tablets,Electronics,Families,350$ - 500$,Touchscreen,12/2/2022,N/A,20%
194,Mobile Devices,Smartphones and tablets,Home Goods,Professionals,350$ - 500$,High Fidelity Audio,2/3/2023,N/A,5%
195,Mobile Devices,Smart home devices,Electronics,Youth,350$ - 500$,High Fidelity Audio,6/30/2022,N/A,35%
196,Mobile Devices,Headphones and wearables,Home Goods,Professionals,350$ - 500$,Wireless,12/16/2022,N/A,35%
197,Accessories,Headphones and wearables,Home Goods,Youth,70$ - 310$,Camera,6/20/2022,N/A,35%
198,Mobile Devices,Headphones and wearables,Electronics,Audiophiles,70$ - 310$,Durable,1/15/2023,N/A,35%
199,Accessories,Smartphones and tablets,Home Goods,Youth,70$ - 310$,Camera,11/29/2022,N/A,35%
200,Audio Equipment,Laptops and desktops,Electronics,Youth,70$ - 310$,High Performance,5/26/2023,N/A,25%
201,Audio Equipment,Smart home devices,Home Goods,Youth,30$ - 99$,Wireless,4/21/2023,N/A,35%
202,Audio Equipment,Headphones and wearables,Electronics,Audiophiles,350$ - 500$,Wireless,10/17/2022,N/A,10%
203,Accessories,Headphones and wearables,Home Goods,Families,350$ - 500$,Touchscreen,12/3/2022,N/A,20%
204,Accessories,Smart home devices,Electronics,Families,50$ - 200$,High Performance,12/4/2022,N/A,30%
205,Audio Equipment,Headphones and wearables,Electronics,Professionals,50$ - 200$,High Performance,8/11/2022,N/A,20%
206,Computing,Smartphones and tablets,Home Goods,Families,50$ - 200$,Smart Connectivity,5/21/2023,N/A,30%
207,Computing,Speakers and soundbars,Home Goods,Professionals,70$ - 310$,Camera,8/4/2022,N/A,5%
208,Audio Equipment,Laptops and desktops,Home Goods,Audiophiles,30$ - 99$,Wireless,5/5/2023,N/A,20%
209,Mobile Devices,Headphones and wearables,Home Goods,General Public,350$ - 500$,High Fidelity Audio,7/26/2022,N/A,20%
210,Computing,Headphones and wearables,Home Goods,Families,350$ - 500$,High Performance,2/15/2023,N/A,5%
211,Mobile Devices,Laptops and desktops,Electronics,Youth,200$ - 500$,Camera,11/21/2022,N/A,25%
212,Computing,Speakers and soundbars,Electronics,Families,50$ - 200$,High Performance,7/28/2022,N/A,50%
213,Mobile Devices,Smartphones and tablets,Electronics,General Public,350$ - 500$,Durable,11/9/2022,N/A,20%
214,Accessories,Smartphones and tablets,Home Goods,Professionals,70$ - 310$,High Performance,12/26/2022,N/A,20%
215,Computing,Speakers and soundbars,Home Goods,Youth,350$ - 500$,Touchscreen,11/13/2022,N/A,15%
216,Home Appliances,Headphones and wearables,Home Goods,Professionals,70$ - 310$,Wireless,8/12/2022,N/A,20%
217,Accessories,Laptops and desktops,Home Goods,Youth,70$ - 310$,Durable,12/28/2022,N/A,50%
218,Audio Equipment,Speakers and soundbars,Home Goods,Audiophiles,30$ - 99$,Smart Connectivity,5/17/2023,N/A,5%
219,Home Appliances,Laptops and desktops,Home Goods,General Public,100$ - 300$,Camera,12/6/2022,N/A,40%
220,Audio Equipment,Speakers and soundbars,Home Goods,Families,100$ - 300$,High Performance,6/25/2022,N/A,50%
221,Mobile Devices,Smart home devices,Home Goods,Families,70$ - 310$,Camera,1/10/2023,N/A,30%
222,Computing,Headphones and wearables,Home Goods,Professionals,100$ - 300$,Touchscreen,11/19/2022,N/A,30%
223,Accessories,Laptops and desktops,Electronics,Professionals,100$ - 300$,Camera,1/5/2023,N/A,20%
224,Mobile Devices,Laptops and desktops,Electronics,Audiophiles,100$ - 300$,High Fidelity Audio,11/28/2022,N/A,50%
225,Home Appliances,Headphones and wearables,Electronics,General Public,350$ - 500$,High Fidelity Audio,2/18/2023,N/A,25%
226,Home Appliances,Speakers and soundbars,Electronics,General Public,100$ - 300$,High Fidelity Audio,9/22/2022,N/A,25%
227,Mobile Devices,Speakers and soundbars,Home Goods,Youth,70$ - 310$,Smart Connectivity,5/13/2023,N/A,5%
228,Accessories,Smartphones and tablets,Electronics,Youth,100$ - 300$,High Performance,3/22/2023,N/A,40%
229,Accessories,Laptops and desktops,Electronics,Youth,50$ - 200$,Touchscreen,3/18/2023,N/A,50%
230,Audio Equipment,Speakers and soundbars,Home Goods,Professionals,350$ - 500$,Touchscreen,12/21/2022,N/A,15%
231,Computing,Smartphones and tablets,Electronics,Audiophiles,30$ - 99$,Smart Connectivity,2/5/2023,N/A,5%
232,Audio Equipment,Smartphones and tablets,Home Goods,Professionals,30$ - 99$,Smart Connectivity,8/24/2022,N/A,30%
233,Audio Equipment,Smart home devices,Home Goods,Professionals,50$ - 200$,High Fidelity Audio,12/31/2022,N/A,35%
234,Accessories,Smartphones and tablets,Electronics,General Public,30$ - 99$,High Performance,2/27/2023,N/A,15%
235,Computing,Laptops and desktops,Home Goods,Audiophiles,30$ - 99$,Wireless,9/30/2022,N/A,50%
236,Mobile Devices,Smart home devices,Home Goods,Audiophiles,50$ - 200$,Wireless,3/13/2023,N/A,25%
237,Mobile Devices,Smart home devices,Home Goods,General Public,50$ - 200$,High Performance,3/21/2023,N/A,10%
238,Audio Equipment,Laptops and desktops,Electronics,Youth,50$ - 200$,Smart Connectivity,12/29/2022,N/A,25%
239,Computing,Smartphones and tablets,Home Goods,General Public,50$ - 200$,High Fidelity Audio,7/4/2022,N/A,5%
240,Accessories,Speakers and soundbars,Electronics,General Public,100$ - 300$,Touchscreen,6/5/2023,N/A,50%
241,Home Appliances,Headphones and wearables,Home Goods,Families,70$ - 310$,Durable,11/2/2022,N/A,35%
242,Mobile Devices,Headphones and wearables,Home Goods,Audiophiles,200$ - 500$,Durable,7/11/2022,N/A,5%
243,Mobile Devices,Speakers and soundbars,Home Goods,Youth,70$ - 310$,Smart Connectivity,6/4/2023,N/A,40%
244,Audio Equipment,Laptops and desktops,Home Goods,Youth,200$ - 500$,Smart Connectivity,5/29/2023,N/A,40%
245,Audio Equipment,Smart home devices,Electronics,Audiophiles,350$ - 500$,High Performance,8/20/2022,N/A,20%
246,Home Appliances,Laptops and desktops,Electronics,Families,30$ - 99$,High Performance,8/24/2022,N/A,35%
247,Accessories,Speakers and soundbars,Electronics,Audiophiles,100$ - 300$,High Performance,12/17/2022,N/A,20%
248,Audio Equipment,Speakers and soundbars,Home Goods,Youth,50$ - 200$,Touchscreen,8/10/2022,N/A,35%
